nid,Keep?,Title,Contributor,Creation Date,URL,Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19
7222,keep,"""A Multi-Systemic, Person-Centered Analysis of Maternal Stress Physiology in Relation to Maternal Sensitivity in the Context of Infant Distress""","""Creator: Dai, Chenchen, Thesis advisor: Woodhouse, Susan""",8/1/2023,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/multi-systemic-0,,,,,,,,,,,,,,,,,,,
394952,delete,"""An Exploratory Analysis of Participant Employment Outcomes in a Pennsylvania Welfare-to-Work Program, 2013-2016""","""Creator: Nicholson, Harvey - Lehigh University, Creator: Zhang, Yuping - Lehigh University""",2016,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/exploratory-5,,,,,,,,,,,,,,,,,,,
3979,keep,"""An Exploratory Analysis of Participant Employment Outcomes in a Pennsylvania Welfare-to-Work Program, 2013-2016""","""Creator: Nicholson, Harvey, Thesis advisor: Zhang, Yuping ; Ochs, Holona ; Munson, Ziad""",2016-09,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/exploratory-1,,,,,,,,,,,,,,,,,,,
394660,delete,"""An Investigation of Internalizing, Externalizing, and Comorbid Behavioral Symptomatology as Predictors of Maladaptive Risky Behavior During Adolescence""","""Creator: Hetrick, Allyse A. - Lehigh University, Creator: Kern, Lee - Lehigh University""",2018,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations-212,,,,,,,,,,,,,,,,,,,
4335,keep,"""An Investigation of Internalizing, Externalizing, and Comorbid Behavioral Symptomatology as Predictors of Maladaptive Risky Behavior During Adolescence""","""Creator: Hetrick, Allyse A, Thesis advisor: Kern, Lee""",2018-05,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/investigation-80,,,,,,,,,,,,,,,,,,,
3200,keep,"""Are You Sure Sweetheart, That You Want To Be Well?: Desire And Wellness In African American Women's Literature""","""Creator: Peterson, Belinda, Thesis advisor: Dolan, Elizabeth A. ; Moglen, Seth ; Foltz, Mary ; Miller, Monica""",2016-01,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/are-you-sure,,,,,,,,,,,,,,,,,,,
395004,delete,"""Are You Sure Sweetheart, That You Want To Be Well?: Desire And Wellness In African American Women's Literature""","""Creator: Peterson, Belinda - Lehigh University, Creator: Dolan, Elizabeth - Lehigh University""",2016,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/are-you-sure-0,,,,,,,,,,,,,,,,,,,
2901,keep,"""A Service System with On-Demand Agents, Stochastic Gradient Algorithms and the SARAH Algorithm""","""Creator: Nguyen, Lam, Thesis advisor: Scheinberg, Katya""",2018-08,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/service-system,,,,,,,,,,,,,,,,,,,
394949,delete,"""A Service System with On-Demand Agents, Stochastic Gradient Algorithms and the SARAH Algorithm""","""Creator: Nguyen, Lam - Lehigh University, Creator: Scheinberg, Katya - Lehigh University""",2018,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/service-system-0,,,,,,,,,,,,,,,,,,,
395172,delete,"""Assessing the timing of intracontinental uplift of the Gobi Altai, Mongolia using low-temperature thermochronology""","""Creator: Thumma, Janelle K. - Lehigh University, Creator: Zeitler, Peter K. - Lehigh University""",2016,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/assessing-7,,,,,,,,,,,,,,,,,,,
6090,keep,"""Assessing the timing of intracontinental uplift of the Gobi Altai, Mongolia using low-temperature thermochronology""","""Creator: Thumma, Janelle Kathryn, Thesis advisor: Zeitler, Peter K. ; Pazzaglia, Frank J. ; Meltzer, Anne S.""",2016-05,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/assessing-timing,,,,,,,,,,,,,,,,,,,
394958,delete,"""Barriers to Creating Centralized, Federal Regulatory Policies for Artificial Intelligence Technology: Why Technological Industry Resources Must Inform Federal Policy Initiatives""","""Creator: Nochimson, Brittney A. - Lehigh University, Creator: Laible, Janet - Lehigh University""",2019,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/barriers-0,,,,,,,,,,,,,,,,,,,
5658,keep,"""Barriers to Creating Centralized, Federal Regulatory Policies for Artificial Intelligence Technology: Why Technological Industry Resources Must Inform Federal Policy Initiatives""","""Creator: Nochimson, Brittney Ann, Thesis advisor: Laible, Janet M.""",5/20/2019,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/barriers,,,,,,,,,,,,,,,,,,,
394416,delete,"""Beam Shaping and Combining of Terahertz Quantum-Cascade Laser Arrays, and Terahertz Sensing""","""Creator: Chen, Ji - Lehigh University, Creator: Kumar, Sushil - Lehigh University""",2021,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/beam-shaping-0,,,,,,,,,,,,,,,,,,,
5016,keep,"""Beam Shaping and Combining of Terahertz Quantum-Cascade Laser Arrays, and Terahertz Sensing""","""Creator: Chen, Ji, Thesis advisor: Kumar, Sushil""",2021-05,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/beam-shaping,,,,,,,,,,,,,,,,,,,
394385,delete,"""Binary Freedom: Free Software, the Internet, and Activism in the Digital Age""","""Creator: Campbell, Christopher B. - Lehigh University, Creator: Smith, John K. - Lehigh University""",2016,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/binary-freedom-0,,,,,,,,,,,,,,,,,,,
5495,keep,"""Binary Freedom: Free Software, the Internet, and Activism in the Digital Age""","""Creator: Campbell, Christopher Bryan, Thesis advisor: Smith, John Kenly, Jr.""",2016,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/binary-freedom,,,,,,,,,,,,,,,,,,,
394365,delete,"""Building a """"City of Churches and Homes"""": Elites, Space, and Power in Brooklyn""","""Creator: Britton, Joshua A. - Lehigh University, Creator: Simon, Roger D. - Lehigh University""",2013,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/building-city-0,,,,,,,,,,,,,,,,,,,
4502,keep,"""Building a """"City of Churches and Homes"""": Elites, Space, and Power in Brooklyn""","""Creator: Britton, Joshua Aaron, Thesis advisor: Simon, Roger D.""",1/1/2013,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/building-city,,,,,,,,,,,,,,,,,,,
394366,delete,"""Building a Coalition by the Fireside: FDR, the American People, and the Radio""","""Creator: Brockman, Christopher T. - Lehigh University, Creator: Simon, Roger D. - Lehigh University""",2020,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/building-0,,,,,,,,,,,,,,,,,,,
4028,keep,"""Building a Coalition by the Fireside: FDR, the American People, and the Radio""","""Creator: Brockman, Christopher Thomas, Thesis advisor: Simon, Roger D.""",2020,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/building,,,,,,,,,,,,,,,,,,,
394376,delete,"""Canaries beyond the Coal Mine: The Plight of the """"Little Saffron Immigrant"""" in Victorian and Postbellum American Literature""","""Creator: Burton, Catherine A. - Lehigh University, Creator: Kramp, David M. - Lehigh University""",2016,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/canaries-0,,,,,,,,,,,,,,,,,,,
7646,keep,"""Canaries beyond the Coal Mine: The Plight of the """"Little Saffron Immigrant"""" in Victorian and Postbellum American Literature""","""Creator: Burton, Catherine Ann, Thesis advisor: Kramp, Michael ; Keetley, Dawn E. ; Dolan, Elizabeth ; Rice, Amber;""",2016,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/canaries-beyond,,,,,,,,,,,,,,,,,,,
395363,delete,"""Career Education Impact on Students' Career Knowledge, Confidence and Influences""","""Creator: Ziegmont, Stephanie R. - Lehigh University, Creator: Beachum, Floyd - Lehigh University""",2021,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/career-1,,,,,,,,,,,,,,,,,,,
7694,keep,"""Career Education Impact on Students' Career Knowledge, Confidence and Influences""","""Creator: Ziegmont, Stephanie R., Thesis advisor: Floyd Beachum""",8/1/2021,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/career-education,,,,,,,,,,,,,,,,,,,
395156,delete,"""Catalytic Transformation of Ethanol to 1,3-Butadiene over MgO/SiO2 Catalyst""","""Creator: Taifan, William E. - Lehigh University, Creator: Baltrusaitis, Jonas - Lehigh University""",2018,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/catalytic-5,,,,,,,,,,,,,,,,,,,
6975,keep,"""Catalytic Transformation of Ethanol to 1,3-Butadiene over MgO/SiO2 Catalyst""","""Creator: Taifan, William E, Thesis advisor: Baltrusaitis, Jonas""",2018-05,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/catalytic-1,,,,,,,,,,,,,,,,,,,
395042,delete,"""Challenging Martial Manhood: Antiwar Literature in the United States, 1861-2012""","""Creator: Reibsome, Evan - Lehigh University, Creator: Moglen, Seth - Lehigh University""",2018,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/challenging-0,,,,,,,,,,,,,,,,,,,
5823,keep,"""Challenging Martial Manhood: Antiwar Literature in the United States, 1861-2012""","""Creator: Reibsome, Evan, Thesis advisor: Moglen, Seth""",2018-01,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/challenging,,,,,,,,,,,,,,,,,,,
394342,delete,"""Characterization of Simplet signaling during joint morphogenesis in Zebrafish, Danio rerio""","""Creator: Bhattacharya, Shashwati - Lehigh University, Creator: Iovine, Dr. M. Kathryn - Lehigh University""",2021,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations-197,,,,,,,,,,,,,,,,,,,
7671,keep,"""Characterization of Simplet signaling during joint morphogenesis in Zebrafish, Danio rerio""","""Creator: Bhattacharya, Shashwati, Thesis advisor: Iovine, Dr. M. Kathryn""",1/1/2021,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations-80,,,,,,,,,,,,,,,,,,,
394669,delete,"""Comparative Progressive Collapse Resistant Design Of A Midrise Steel Building Frame: Mrfs, Trusses, And Diagrids""","""Creator: Hooven, Katie N. - Lehigh University, Creator: Quiel, Spencer E. - Lehigh University""",2018,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/comparative-22,,,,,,,,,,,,,,,,,,,
4290,keep,"""Comparative Progressive Collapse Resistant Design Of A Midrise Steel Building Frame: Mrfs, Trusses, And Diagrids""","""Creator: Hooven, Katie Nichole, Thesis advisor: Quiel, Spencer E.""",2018-01,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/comparative-11,,,,,,,,,,,,,,,,,,,
395005,delete,"""Conservation Complexities in the Mount Elgon Region, Uganda""","""Creator: Petruska, Margaux - Lehigh University, Creator: Pooley, Karen - Lehigh University""",2023,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/conservation-0,,,,,,,,,,,,,,,,,,,
7182,keep,"""Conservation Complexities in the Mount Elgon Region, Uganda""","""Creator: Petruska, Margaux, Thesis advisor: Pooley, Karen""",5/1/2023,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/conservation,,,,,,,,,,,,,,,,,,,
394516,delete,"""Coping, Ethnic Discrimination, and Depression in the Middle Eastern American Community: An Examination of Gender Differences""","""Creator: Eftekharzadeh, Pegah - Lehigh University, Creator: Caskie, Grace I. - Lehigh University""",2021,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/coping-ethnic-0,,,,,,,,,,,,,,,,,,,
7683,keep,"""Coping, Ethnic Discrimination, and Depression in the Middle Eastern American Community: An Examination of Gender Differences""","""Creator: Eftekharzadeh, Pegah, Thesis advisor: Caskie, Grace I., Thesis advisor: Inman, Arpana G., Thesis advisor: Soheilian, Sepideh S., Thesis advisor: Cadenas, Germán A.""",2020-10,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/coping-ethnic,,,,,,,,,,,,,,,,,,,
394857,delete,"""Counseling Trainees' Advocacy: Investigating the Role of Race, Gender Beliefs, Exposure to Injustice, and Diversity Experiences""","""Creator: Luu, Linh P. - Lehigh University, Creator: Inman, Arpana G. - Lehigh University""",2016,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/counseling-2,,,,,,,,,,,,,,,,,,,
5041,keep,"""Counseling Trainees' Advocacy: Investigating the Role of Race, Gender Beliefs, Exposure to Injustice, and Diversity Experiences""","""Creator: Luu, Linh P., Thesis advisor: Inman, Arpana G. ; Liang, Christopher T. H. ; Dever, Bridget V. ; Miller, Matthew J.""",2016-04,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/counseling,,,,,,,,,,,,,,,,,,,
3445,delete,"""Crack arrest fracture toughness of A36, A588, and A514 structural steels.""","""Creator: Durkee, Mark C.""",1982-05,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/crack-arrest,,,,,,,,,,,,,,,,,,,
4782,keep,"""Crack arrest fracture toughness of A36, A588, and A514 structural steels.""","""Creator: Ngo, Dat V.""",1983-09,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/crack-arrest-0,,,,,,,,,,,,,,,,,,,
395144,delete,"""Creating Borderlands Authorities: The Albany Commissioners for Indian Affairs and the Iroquois Nations, 1691-1755""","""Creator: Stahlhut, Andrew T. - Lehigh University, Creator: Soderlund, Jean - Lehigh University""",2016,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/creating-0,,,,,,,,,,,,,,,,,,,
4767,keep,"""Creating Borderlands Authorities: The Albany Commissioners for Indian Affairs and the Iroquois Nations, 1691-1755""","""Creator: Stahlhut, Andrew Thomas, Thesis advisor: Soderlund, Jean R. ; LeMaster, Michelle ; Savage, John ; Paxton, Jamie""",2016-05,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/creating,,,,,,,,,,,,,,,,,,,
2498,keep,"""Cremations, Canes, and Freshman Customs: One Hundred Years of Lehigh Class Traditions""","""Creator: Norwood, Janet Worsley, Thesis advisor: Smith, John Kenly, Jr.""",2016-05,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/cremations-canes,,,,,,,,,,,,,,,,,,,
394960,delete,"""Cremations, Canes, and Freshman Customs: One Hundred Years of Lehigh Class Traditions""","""Creator: Norwood, Janet W. - Lehigh University, Creator: Smith, John K. - Lehigh University""",2016,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/cremations-0,,,,,,,,,,,,,,,,,,,
428124,delete,"""Decoupled lithostratigraphy, orbitally-driven climate, and tectonics for a middle Pleistocene stratigraphic section""","""Creator: Gelwick, Katrina D. - Lehigh University, Creator: Pazzaglia, Frank J. - Lehigh University""",2019,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/decoupled-0,,,,,,,,,,,,,,,,,,,
6940,keep,"""Decoupled lithostratigraphy, orbitally-driven climate, and tectonics for a middle Pleistocene stratigraphic section""","""Creator: Gelwick, Katrina Desiree, Thesis advisor: Pazzaglia, Frank J.""",5/1/2019,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/decoupled,,,,,,,,,,,,,,,,,,,
394593,delete,"""Design, Development And Early Efficacy Testing Of A Hand Hygiene Serious Simulation Game For 12th Grade Female Career And Technical Education Health Science Students""","""Creator: GLOVER, KEVIN R. - Lehigh University, Creator: Bodzin, Al - Lehigh University""",2021,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/design-91,,,,,,,,,,,,,,,,,,,
7687,keep,"""Design, Development And Early Efficacy Testing Of A Hand Hygiene Serious Simulation Game For 12th Grade Female Career And Technical Education Health Science Students""","""Creator: Glover, Kevin R., Thesis advisor: Al Bodzin""",5/1/2021,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/design-81,,,,,,,,,,,,,,,,,,,
394389,delete,"""Design, expression, and initial characterization of von Willebrand Factor A2 domain and its mutants""","""Creator: Cao, Wenpeng - Lehigh University, Creator: Zhang, Xiaohui F. - Lehigh University""",2017,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/design-88,,,,,,,,,,,,,,,,,,,
6472,keep,"""Design, expression, and initial characterization of von Willebrand Factor A2 domain and its mutants""","""Creator: Cao, Wenpeng, Thesis advisor: Zhang, Xiaohui (Frank)""",2017-08,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/design-70,,,,,,,,,,,,,,,,,,,
395082,delete,"""Design, Fabrication, and Characterization of a Gun-Launched Deployable-Wing Unmanned Aerial System""","""Creator: Schutter, Timothy - Lehigh University, Creator: Moored, Keith W. - Lehigh University""",2016,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/design-98,,,,,,,,,,,,,,,,,,,
4859,keep,"""Design, Fabrication, and Characterization of a Gun-Launched Deployable-Wing Unmanned Aerial System""","""Creator: Schutter, Timothy, Thesis advisor: Moored, Keith W.""",2016-09,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/design-41,,,,,,,,,,,,,,,,,,,
395281,delete,"""Design, Fabrication, Characterization and Modeling of CMOS-Compatible PtSe2 MOSFETs""","""Creator: Xiong, Kuanchen . - Lehigh University, Creator: Hwang, James C. - Lehigh University""",2020,https://preserve.lehigh.edu/lehigh-scholarship/graduate-publications-theses-dissertations/theses-dissertations/design-100,,,,,,,,,,,,,,,,,,,
